geo,time,sg_gdp_p_cap_const_ppp2011_dollar
usa,1984,32110
usa,1985,33065
usa,1986,33899
usa,1987,34787
usa,1988,35929
usa,1989,36830
usa,1990,37062
usa,1991,36543
usa,1992,37321
usa,1993,37844
usa,1994,38892
usa,1995,39476
usa,1996,40501
usa,1997,41812
usa,1998,43166
usa,1999,44673
usa,2000,45986
usa,2001,45978
usa,2002,46367
usa,2003,47260
usa,2004,48597
usa,2005,49762
usa,2006,50599
usa,2007,51011
usa,2008,50384
usa,2009,48558
usa,2010,49373
usa,2011,49781
usa,2012,50549
usa,2013,51282
usa,2014,52118
usa,2015,53354
usa,2016,54408
usa,2017,55317
usa,2018,56068
usa,2019,56820
usa,2020,57811
usa,2021,58819
usa,2022,59791
usa,2023,60758
usa,2024,61749
usa,2025,62795
usa,2026,63904
usa,2027,65040
usa,2028,66213
usa,2029,67432
usa,2030,68700
usa,2031,70017
usa,2032,71382
usa,2033,72798
usa,2034,74268
usa,2035,75794
usa,2036,77377
usa,2037,79021
usa,2038,80727
usa,2039,82498
usa,2040,84337
